id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
956857,large Room- Heart of Soho/Central,5100812,Nana,,Central & Western,22.28324,114.15418,Private room,739,45,5,2013-03-20,0.05,2,317,0,
957513,"Hollywood Rd, Spacious and Sunny",5207666,James,,Central & Western,22.28526,114.14737,Entire home/apt,840,4,37,2019-04-07,0.44,1,357,1,
992390,Bright quiet studio in Hong Kong Central district,5181284,Peter,,Central & Western,22.28272,114.15307,Entire home/apt,496,2,151,2020-02-26,3.12,2,72,9,
1016855,FURNISHED Sheung Wan FLATSHARE,4584648,Ivy,,Central & Western,22.28665,114.15054,Private room,180,30,2,2016-07-03,0.02,384,365,0,
1019390,A room in hip creative Sheung Wan,2014297,Cheryl,,Central & Western,22.28589,114.15149,Private room,600,1,66,2019-01-02,0.82,1,365,0,
1022377,Lovely Quiet Apartment With Rooftop,3905388,Janet,,Islands,22.24189,113.9801,Entire home/apt,654,2,177,2019-08-26,2.05,1,76,23,
1033352,Room in Wan Chai,4584648,Ivy,,Wan Chai,22.27904,114.18033,Private room,180,30,1,2014-01-04,0.01,384,365,0,
1033353,Sai Ying Poon Room in flatshare,4584648,Ivy,,Wan Chai,22.27761,114.17335,Private room,180,31,1,2015-08-03,0.01,384,365,0,
1036146,Seaview  Apt in Discovery Bay,2376514,Sun-Ok,,Islands,22.29462,114.02129,Entire home/apt,1857,90,1,2013-08-04,0.01,7,365,0,
1046393,Wanchai - Room available,4584648,Ivy,,Wan Chai,22.27882,114.17139,Private room,180,30,0,,,384,365,0,
1060831,Duplex Town house at Beach village with Terrace,2376514,Sun-Ok,,Islands,22.29138,114.00899,Entire home/apt,3990,30,5,2017-07-12,0.05,7,236,0,
1072782,Nice and Big room in Fortress Hill,4584648,Ivy,,Eastern,22.28905,114.19639,Private room,180,30,0,,,384,365,0,
1108132,SOHO'S URBAN CHIC DESIGNERS APT,6084316,Lulu,,Central & Western,22.28087,114.15345,Entire home/apt,700,1,425,2020-08-02,4.41,1,321,37,
1127705,"Bright,1100 sqf.convenient location",6187328,Camilla,,Central & Western,22.28406,114.14496,Entire home/apt,1200,1,20,2018-12-23,0.28,1,173,0,
1145659,CWB Room,4584648,Ivy,,Wan Chai,22.27655,114.18077,Private room,180,29,0,,,384,364,0,
1149076,A beautiful Flat in Central - Caine road (ML23b),4584648,Ivy,,Central & Western,22.28033,114.15311,Private room,180,30,1,2014-02-01,0.01,384,189,0,
1149104,++Welcome for short term rent ++,4584648,Ivy,,Yau Tsim Mong,22.29925,114.17537,Private room,180,60,0,,,384,365,0,
1149202,Tsimshatsui Room in Flat Share (T5b),4584648,Ivy,,Yau Tsim Mong,22.29734,114.17478,Private room,180,30,0,,,384,69,0,
1149491,Fully furnished apartment,4584648,Ivy,,Eastern,22.2884,114.199,Private room,180,29,2,2015-11-26,0.02,384,0,0,
1157314,"Cozy refurbed flat, 1 min to MTR",804955,James & Rebecca,,Central & Western,22.28622,114.1372,Entire home/apt,637,2,145,2020-08-16,2.66,1,328,27,
1164099,"Near with SOHO, for Long/Short term",4584648,Ivy,,Central & Western,22.28082,114.15233,Private room,180,30,0,,,384,264,0,
1165573,Mid-level 1br/1ba by escalator,4258815,Faye,,Central & Western,22.28122,114.15135,Entire home/apt,700,3,124,2021-09-01,1.55,1,36,6,
